num_clients,throughput,throughput_loop,responsetime,success_rate,start_time,end_time
5,4.7956956,2.4448927,1.04,100.00,1701147187,1701147197
15,14.1456781,7.2702058,1.06,100.00,1701147197,1701147208
25,22.9741053,11.9550537,1.08,100.00,1701147208,1701147220
35,31.9750934,16.6646056,1.09,100.00,1701147220,1701147233
45,39.8336421,20.9889055,1.13,100.00,1701147233,1701147246
55,47.0530202,25.2742383,1.17,100.00,1701147246,1701147259
65,52.2283177,27.0207412,1.20,100.00,1701147259,1701147273
75,55.0789842,28.3129618,1.25,100.00,1701147273,1701147288
85,55.4656111,28.5537734,1.31,100.00,1701147288,1701147303
95,53.3795766,27.4767947,1.38,100.00,1701147303,1701147319
105,48.9760388,25.1272888,1.46,100.00,1701147319,1701147336
115,42.5850718,21.9872729,1.56,100.00,1701147336,1701147354
125,34.6883396,17.8593072,1.68,100.00,1701147354,1701147373
135,25.9111505,13.3792621,1.82,100.00,1701147373,1701147393
