num_clients,throughput,throughput_loop,responsetime,success_rate,start_time,end_time
5,85.2847566,4.6782573,.06,100.00,1701145075,1701145081
15,158.0297719,11.7008912,.10,100.00,1701145081,1701145089
25,216.9185843,19.8039036,.14,100.00,1701145089,1701145098
35,179.1814532,22.9831547,.37,100.00,1701145098,1701145117
45,222.1745700,26.1661199,.38,99.55,1701145117,1701145135
55,205.7068463,27.5704637,.59,98.54,1701145135,1701145155
65,239.4055220,31.7004329,.89,95.69,1701145155,1701145178
75,227.6719392,31.5083414,1.56,91.46,1701145178,1701145211
85,181.9265457,33.4949872,1.75,89.64,1701145211,1701145245
95,307.2096105,35.3369571,.97,95.57,1701145245,1701145277
105,234.3573866,37.9481465,1.93,89.14,1701145277,1701145311
115,259.9233757,38.7234453,1.34,92.86,1701145311,1701145343
125,226.7177771,38.4032467,2.71,85.28,1701145343,1701145386
135,223.3439966,37.8596384,2.59,85.92,1701145386,1701145424
145,245.3106035,41.2852642,3.90,80.55,1701145424,1701145475
155,227.6211553,42.0194025,2.86,83.74,1701145475,1701145516
165,226.1611288,42.2895671,3.72,79.27,1701145516,1701145561
175,449.8703220,40.6456409,1.62,91.88,1701145561,1701145615
185,263.7029359,41.8385959,5.69,73.51,1701145615,1701145677
195,457.5448457,49.8517667,2.31,87.28,1701145677,1701145736
