num_clients,throughput,throughput_loop,responsetime,success_rate,start_time,end_time
5,87.5642543,4.7000591,.06,100.00,1701144337,1701144343
15,151.1329863,11.5997013,.11,100.00,1701144343,1701144351
25,224.2267481,19.0404076,.16,100.00,1701144351,1701144361
35,186.6082647,22.1297940,.63,97.71,1701144361,1701144379
45,245.0335485,27.6691305,.28,100.00,1701144379,1701144394
55,227.4458861,29.8149134,.70,97.45,1701144394,1701144414
65,235.3414313,30.6725896,1.19,93.23,1701144414,1701144438
75,279.3202984,33.9650323,1.38,92.00,1701144438,1701144470
85,191.5895129,29.9063292,1.99,89.17,1701144470,1701144501
95,226.3641719,34.9989690,2.09,88.84,1701144501,1701144536
